Date,Region_Name,Area_Code,Average_Price_SA
1997-02-01,South West,E12000009,58392.48106
1997-02-01,East of England,E12000006,60158.30394
1997-02-01,East Midlands,E12000004,47700.57862
1997-02-01,North West,E12000002,45116.96766
1997-02-01,England and Wales,K04000001,56179.81611
1997-03-01,England,E92000001,57144.80224
1997-03-01,Wales,W92000004,44822.57934
1997-03-01,West Midlands Region,E12000005,52344.83563
1997-03-01,London,E12000007,84949.17854
1997-03-01,South West,E12000009,58938.97353
1997-03-01,East of England,E12000006,60728.69437
1997-03-01,East Midlands,E12000004,47858.18742
1997-03-01,South East,E12000008,71637.86698
1997-03-01,North West,E12000002,45221.0753
1997-03-01,North East,E12000001,42241.86501
1997-03-01,Yorkshire and The Humber,E12000003,45290.68691
1997-03-01,England and Wales,K04000001,56494.45643
1997-04-01,England,E92000001,57329.84124
1997-04-01,Wales,W92000004,43948.39556
1997-04-01,South West,E12000009,59091.69435
1997-04-01,London,E12000007,85734.75895
1997-04-01,North East,E12000001,43187.83759
1997-04-01,North West,E12000002,44414.11872
1997-04-01,Yorkshire and The Humber,E12000003,45578.0718
1997-04-01,East Midlands,E12000004,48234.09041
1997-04-01,East of England,E12000006,60440.51435
1997-04-01,West Midlands Region,E12000005,52525.63987
1997-04-01,South East,E12000008,72029.6137
1997-04-01,England and Wales,K04000001,56538.59153
1997-05-01,England,E92000001,57951.59002
1997-05-01,Wales,W92000004,45177.36456
1997-05-01,North West,E12000002,44862.1628
1997-05-01,North East,E12000001,42792.44806
1997-05-01,East of England,E12000006,61465.25714
1997-05-01,South East,E12000008,73216.17653
1997-05-01,South West,E12000009,59312.5582
1997-05-01,East Midlands,E12000004,48429.88611
1997-05-01,West Midlands Region,E12000005,52948.35921
1997-05-01,Yorkshire and The Humber,E12000003,45612.63507
1997-05-01,London,E12000007,87785.22236
1997-05-01,England and Wales,K04000001,57255.10764
1997-06-01,Wales,W92000004,45673.45122
1997-06-01,England,E92000001,58450.1257
1997-06-01,East Midlands,E12000004,48401.93095
1997-06-01,North East,E12000001,43175.99351
